Organization,ISIN,BBID,Ticker,Sector,Country HQ,Does your organization have a water policy?
Sony Corporation,JP3435000009,EQ0010136500001000,6758 JP,Consumer Discretionary,Japan,"Yes, a publicly available company-wide water policy with performance standards for direct operations including supplier, procurement and contracting best practice"
South African Post Office,,,NOT FOUND,Industrials,South Africa,"Yes, a company-wide water policy"
Sprint Nextel Corporation,US85207U1051,EQ0000000030786031,S US,Telecommunication Services,USA,"Yes, a publicly available company-wide water policy with performance standards for direct operations including supplier, procurement and contracting best practice and acknowledges the human right to water and sanitation"
ST ALBANS CO-OPERATIVE CREAMERY INC,,,,Consumer Staples,USA,No
"Stanley Black & Decker, Inc.",US8545021011,EQ0010139700001000,SWK US,Industrials,USA,"Yes, a company-wide water policy"
"Staples, Inc.",US8550301027,EQ0010697300001000,SPLS US,Consumer Discretionary,USA,"Yes, a water policy for select facilities only"
Starbucks Corporation,US8552441094,EQ0010669100001000,SBUX US,Consumer Discretionary,USA,"Yes, a publicly available company-wide water policy with performance standards for direct operations including supplier, procurement and contracting best practice and acknowledges the human right to water and sanitation"
"Starwood Hotels & Resorts Worldwide, Inc",US85590A4013,EQ0010075600001000,HOT US,Consumer Discretionary,USA,"Yes, a company-wide water policy"
Statoil ASA,NO0010096985,EQ0018207400001000,STL NO,Energy,Norway,No
STEFANINI,,,,Information Technology,Brazil,"Yes, a company-wide water policy"
STENTA FILMS MALAYSIA SENDIRIAN BERHAD,,,,Materials,Malaysia,No
Summit,,,,Materials,USA,Other: Zero discharge of chemical waste to public sewer
SUN FOODS AGROINDL C OESTE LTDA,,,,Consumer Staples,Brazil,No
Sun International Ltd,ZAE000097580,EQ0013038600001000,SUI SJ,Consumer Discretionary,South Africa,"Yes, a water policy for select facilities only"
Suncor Energy Inc.,CA8672241079,EQ0011063100001000,SU CN,Energy,Canada,"Yes, a publicly available company-wide water policy"
Swaraj Techno,,,,Consumer Staples,India,"Yes, a company-wide water policy"
Symantec Corporation,US8715031089,EQ0010715200001000,SYMC US,Information Technology,USA,"Other: Symantec does not have a specific water policy with goals and guidelines for action. However, our corporate environmental policy statement does include a commitment to implement water reduction measures at those sites that are located in water stressed regions."
Syngenta International AG,CH0011037469,EQ0119704300001000,SYNN VX,Materials,Switzerland,"Other: Code of Practice; HSE Policy & Standards; and embedded in our business strategy as part of ""The Good Growth Plan"
Sysco Corporation,US8718291078,EQ0010143300001000,SYY US,Consumer Staples,USA,No
Taisei Corporation,JP3443600006,EQ0011485400001000,1801 JP,Industrials,Japan,No
Taitwun,,,,,China,"Yes, a company-wide water policy"
"Taiwan Yuasa Battery Co., Ltd.",,,,Information Technology,Taiwan,No
Takeda Pharmaceutical Company Limited,JP3463000004,EQ0011488100001000,4502 JP,Health Care,Japan,"Yes, a publicly available company-wide water policy"
Target Corporation,US87612E1064,EQ0010043600001000,TGT US,Consumer Discretionary,USA,"Yes, a company-wide water policy"
Tech Mahindra,INE669C01028,EQ0171212300001000,TECHM IN,Information Technology,India,"Yes, a company-wide water policy"
Tata Chemicals,INE092A01019,EQ0017435300001000,TTCH IN,Materials,India,Other: EHS Policy - where water is the part of Environment
Tata Steel,INE081A01012,EQ0015456100001000,TATA IN,Materials,India,Other: Water is included in the TSL Environment policy
Tata Steel Europe,,,,Materials,United Kingdom,No
TDK Corporation,JP3538800008,EQ0010144200001000,6762 JP,Information Technology,Japan,"Yes, a publicly available company-wide water policy"
TE Connectivity,CH0102993182,EQ0000000003615686,TEL US,Information Technology,USA,"Yes, a company-wide water policy"
Teck Resources Limited,CA8787422044,EQ0011068600003000,TCK/B CN,Materials,Canada,"Yes, a publicly available company-wide water policy"
Teradyne Inc.,US8807791038,EQ0010145500001000,TER US,,USA,"Yes, a water policy for select facilities only"
Tesa SE,,,,Consumer Discretionary,Germany,Other:
Texas Instruments Incorporated,US8826811098,EQ0000000001107468,TXN US,,USA,"Other: TI's environmental, safety and health policy and principles addresses ""Natural Resources and Energy Conservation,"" but does not specifically address water.  See policy for more: http://www.ti.com/corp/docs/csr/downloads/esh_policies_principles_2011_en.pdf."
Texen,,,,Consumer Staples,France,No
The Coca-Cola Company,,EQ0020198900001000,KO US,Consumer Staples,USA,"Yes, a publicly available company-wide water policy with performance standards for direct operations including supplier, procurement and contracting best practice"
The Dow Chemical Company,,EQ0000000004162206,DOW US,Materials,USA,"Yes, a publicly available company-wide water policy"
The Hershey Company,US4280402086,EQ0000000001811339,HSY US,Consumer Staples,USA,"Yes, a publicly available company-wide water policy"
The J.M. Smucker Company,JP3721400004,EQ0011384400001000,SJM US,Consumer Staples,USA,"Yes, a company-wide water policy"
The Southern Company,ZAE000058517,EQ0000000001333582,SO US,Utilities,USA,No
Thermo Fisher Scientific Inc.,US8835561023,EQ0010146600001000,TMO US,Health Care,USA,No
Thermoflex Corporation,,,,Consumer Discretionary,USA,No
"Thibiant International, Inc.",,,,Consumer Staples,USA,No
ThyssenKrupp AG,DE0007500001,EQ0081525300001000,TKA GR,Materials,Germany,"Yes, a publicly available company-wide water policy"
Tiger Brands,ZAE000071080,EQ0011239300001001,TBS SJ,Consumer Staples,South Africa,"Yes, a publicly available company-wide water policy with performance standards for direct operations including supplier, procurement and contracting best practice and acknowledges the human right to water and sanitation"
TOKAIKOGYO CO. LTD.,,,,Consumer Discretionary,Japan,No
Tongaat Hulett Ltd,ZAE000096541,EQ0011240300001001,TON SJ,Consumer Staples,South Africa,"Yes, a publicly available company-wide water policy"
Top Victory Electronics(Fujian) Co. Ltd,,,,Consumer Discretionary,China,"Yes, a company-wide water policy"
Toshiba Corporation,JP3592200004,EQ0011505500001000,6502 JP,Industrials,Japan,"Yes, a publicly available company-wide water policy"
"Toyobo Co., Ltd.",JP3619800000,EQ0011510900001000,3101 JP,Materials,Japan,"Yes, a water policy for select facilities only"
Toyota Industries Corporation,JP3634600005,EQ0011511000001000,6201 JP,Consumer Discretionary,Japan,"Yes, a publicly available company-wide water policy"
TRANSFORMACIONES AGRICOLAS DE BADAJOZ S A,,,,Consumer Staples,Spain,"Yes, a company-wide water policy"
Travis Perkins,GB0007739609,EQ0011241800001000,TPK LN,Industrials,United Kingdom,"Yes, a water policy for select facilities only"
Treasury Wine Estates,AU000000TWE9,EQ0000000010341418,TWE AU,Consumer Staples,Australia,"Yes, a water policy for select facilities only"
Tutun,,,,Consumer Staples,Turkey,Other: It is included in our SRTP policy
TREVES UK LIMITED,,,,Consumer Discretionary,United Kingdom,No
Trillium Health Care,,,,Consumer Staples,USA,No
UGN INC,,,,Consumer Discretionary,USA,No
Uni-Charm Corporation,JP3951600000,EQ0011514000001000,8113 JP,Consumer Staples,Japan,No
Unigen,,,,,USA,No
VFI,,,,Consumer Staples,Austria,"Yes, a company-wide water policy"
Unilever plc,GB00B10RZP78,EQ0010153400001000,ULVR LN,Consumer Staples,United Kingdom,"Other: Unilever has an overarching water strategy which is implemented through several policy documents which span the value chain. For instance, Unilever's Responsible Sourcing Policy embeds water efficiency and water risk management into agricultural practices for our suppliers. Our new factory policy ensures that water efficiency is designed into all new developments, and aligns with our Unilever Sustainable Living Plan target that all newly built factories will aim to abstract less than half the water of those in our 2008 baseline."
Union Pacific Corporation,US9078181081,EQ0010153900001000,UNP US,Industrials,USA,Other: It is part of our Environmental Policy that applies to all employees.
UNIVERSAL CHEMICAL LTDA,,,,Consumer Staples,Brazil,No
UPS,US9113121068,EQ0014302700001000,UPS US,Industrials,USA,Other: UPS has in place a global water stewardship strategy
US Cotton,,,,Consumer Staples,USA,No
Vale,BRVALEACNOR0,EQ0013611700001000,VALE3 BZ,Materials,Brazil,"Yes, a publicly available company-wide water policy with performance standards for direct operations including supplier, procurement and contracting best practice and acknowledges the human right to water and sanitation"
Valeo Sa,FR0000130338,EQ0011555600001000,FR FP,Consumer Discretionary,France,No
VAN ROB INC,,,,Consumer Discretionary,Canada,No
Varian Medical Systems Inc,US92220P1057,EQ0010159300001000,VAR US,Health Care,USA,"Yes, a company-wide water policy"
Varun Agro Processing,,,,Consumer Staples,India,"Yes, a company-wide water policy"
VECTRON,,,,Information Technology,USA,No
Vinci,FR0000125486,EQ0011550500001000,DG FP,Industrials,France,"Yes, a publicly available company-wide water policy"
Visteon,US92839U2069,EQ0000000011350553,VC US,Consumer Discretionary,USA,"Yes, a company-wide water policy"
"Vitesse Semiconductor, Corp.",,,,,USA,No
Volkswagen AG,DE0007664039,EQ0011575700100000,VOW3 GR,Consumer Discretionary,Germany,"Yes, a company-wide water policy"
VOTOB,,,,Consumer Staples,Indonesia,No
VRIJDAG PREMIUM PKG,,,,Materials,Netherlands,No
"Wal-Mart Stores, Inc.",US9311421039,EQ0010161600001000,WMT US,Consumer Staples,USA,"Yes, a publicly available company-wide water policy"
"Waste Management, Inc.",US94106L1098,EQ0010757000001000,WM US,Industrials,USA,"Yes, a water policy for select facilities only"
Waychein,,,,Consumer Staples,China,"Yes, a water policy for select facilities only"
Webasto,,,,Consumer Discretionary,Germany,No
Wesfarmers,AU000000WES1,EQ0011312900001000,WES AU,Consumer Staples,Australia,"Yes, a water policy for select facilities only"
Western Digital Corp,US9581021055,EQ0010164300001000,WDC US,,USA,No
Whirlpool Corporation,US9633201069,EQ0010165500001000,WHR US,Consumer Discretionary,USA,"Yes, a publicly available company-wide water policy"
"Whole Foods Market, Inc.",US9668371068,EQ0010782300001000,WFM US,Consumer Staples,USA,"Yes, a company-wide water policy"
Woolworths Holdings Ltd,ZAE000063863,EQ0030709700001000,WHL SJ,Consumer Discretionary,South Africa,"Yes, a company-wide water policy"
WorleyParsons,AU000000WOR2,EQ0000000000382447,WOR AU,Energy,Australia,"Other: Health, Safety and Environment Policy that states the goal of zero harm to people, assets and the environment"
Wus,,,,Information Technology,China,"Yes, a publicly available company-wide water policy with performance standards for direct operations including supplier, procurement and contracting best practice and acknowledges the human right to water and sanitation"
Xylem Inc,US98419M1009,EQ0000000016530122,XYL US,Industrials,USA,"Yes, a publicly available company-wide water policy with performance standards for direct operations including supplier, procurement and contracting best practice and acknowledges the human right to water and sanitation"
Xyratex Limited,,,,,United Kingdom,No
"Yokohama Rubber Company, Limited",JP3955800002,EQ0011519400001000,5101 JP,Consumer Discretionary,Japan,Other: a
ZCL Chemicals,,EQ0000000010377915,PRIV,Health Care,India,No
Zippak,,,,Consumer Discretionary,United Kingdom,No
Zohar Dalia,,,,Materials,Israel,"Yes, a publicly available company-wide water policy"
