Year,Organization,Country HQ,Country location,Row,Forest Risk Commodity,Forest Risk Assessment,Forest Risk Process,Regulatory risks - Risk Present,Regulatory risks - Further Details,Reputational Risks - Risk Present,Reputational Risks - Further Details,Operational Risks - Risk Present,Operational Risks - Further Details
2014,Nestlé,Switzerland,"(46.818188, 8.227512)",1,Timber,Yes,"Our risk assessment process at the high level identified commodities that are material for Nestlé in terms of spend, known risks (in this case deforestation) and consumer interest/reputation. This highlighted timber products as high risk. At an operational level we use a more fine level risk assessment to target our waves of interventions. At this level we again look at main sourcing countries, and the presence of known risks at a country/company level. In addition market demand is also factored in as this can help speed up implementation. The presence of certification schemes which are aligned with our Responsible Sourcing Guidelines can reduce the risk and the priority that we give.	",Material risk,"Where deforestation occurs in contravention of international, national or local legislation, or in contravention of concession provisions. For example on land ownership, specific forest law provisions, human rights",Material risk,"In addition to the above (ie regulatory risks), where deforestation occurs within the law but outwith our policy or the expectations of society. All of these occurrences can lead to NGO campaigns, press commentary, customer and consumer boycotts",Non-material risk,As a global company we buy paper packaging products from a very wide range of countries and suppliers (who are very numerous). This limits the risk of supply disruptions. There is often also a degree of substitution potential from alternative packaging materials which also reduces risk. Our approach to working with suppliers to help then improve their sustainability performance also mitigates risk rather than only trying to buy products that meet our RSG requirements.
2014,Nestlé,Switzerland,"(46.818188, 8.227512)",2,Palm Oil,Yes,"Our risk assessment process at the high level identified commodities that are material for Nestlé in terms of spend, known risks (in this case deforestation) and consumer interest/reputation. This highlighted palm oil as high risk. As per the above, at an operational level we use a more fine level risk assessment to target our waves of interventions. At this level we again look at main sourcing countries, and the presence of known risks at a country/company level. In addition market demand is also factored in as this can help speed up implementation. The presence of certification schemes which are aligned with our Responsible Sourcing Guidelines can reduce the risk and the priority that we give.",Material risk,"Where deforestation occurs in contravention of international, national or local legislation, or in contravention of concession provisions. For example on land ownership, specific forest law provisions, human rights. In addition to producer country laws, there are early moves to instigate import lagislation on palm oil (mirroring the Lacey Act and EU Timber import regulations)",Material risk,"In addition to the above (ie regulatory risks), where deforestation occurs within the law but outwith our policy or the expectations of society. All of these occurrences can lead to NGO campaigns, press commentary, customer and consumer boycotts. Currently palm oil is the commodity with the highest material risk in this category",Non-material risk,As a global company we buy palm oil products from a wide range of suppliers (who are very numerous). This limits the risk of supply disruptions. There is often also a degree of substitution potential from alternative oils which also reduces risk. Our approach to working with suppliers to help then improve their sustainability performance also mitigates risk rather than only trying to buy products that meet our RSG requirements.
2014,Nestlé,Switzerland,"(46.818188, 8.227512)",3,Cattle Products,Yes,"Our risk assessment process at the high level identified commodities that are material for Nestlé in terms of spend, known risks (in this case deforestation) and consumer interest/reputation. This highlighted cattle products as high risk. At an operational level we use a more fine level risk assessment to target our waves of interventions. At this level we again look at main sourcing countries, and the presence of known risks at a country/company level. In addition market demand is also factored in as this can help speed up implementation. in the case of cattle products we have quickly determined that we do not have exposure to cattle products sourced from areas where deforestation is occurring. Our responsible sourcing programme does look at other issues beyond deforestation so work continues in this area			",Material risk,"Where deforestation occurs in contravention of international, national or local legislation, or in contravention of concession provisions. For example on land ownership, specific forest law provisions, human rights",Material risk,"In addition to the above (ie regulatory risks), where deforestation occurs within the law but outwith our policy or the expectations of society. All of these occurrences can lead to NGO campaigns, press commentary, customer and consumer boycotts",Non-material risk,As a global company we buy cattle products from a wide range of countries and suppliers (who are very numerous). This limits the risk of supply disruptions. Our approach to working with suppliers to help then improve their sustainability performance also mitigates the risk rather than only trying to buy products that meet our RSG requirements.
2014,Nestlé,Switzerland,"(46.818188, 8.227512)",4,Soy,Yes,"Our risk assessment process at the high level identified commodities that are material for Nestlé in terms of spend, known risks (in this case deforestation) and consumer interest/reputation. This highlighted soya products as high risk. At an operational level we use a more fine level risk assessment to target our waves of interventions. At this level we again look at main sourcing countries, and the presence of known risks at a country/company level. In addition market demand is also factored in as this can help speed up implementation. The presence of certification schemes which are aligned with our Responsible Sourcing Guidelines can reduce the risk and the priority that we give.",Material risk,"Where deforestation occurs in contravention of international, national or local legislation, or in contravention of concession provisions. For example on land ownership, specific forest law provisions, human rights",Material risk,"In addition to the above (ie regulatory risks), where deforestation occurs within the law but outwith our policy or the expectations of society. All of these occurrences can lead to NGO campaigns, press commentary, customer and consumer boycotts",Non-material risk,As a global company we buy soya products from a wide range of countries and suppliers (who are very numerous). This limits the risk of supply disruptions. Our approach to working with suppliers to help then improve their sustainability performance also mitigates the risk rather than only trying to buy products that meet our RSG requirements.
2013,New Britain Palm Oil,Papua New Guinea,"(-6.314993, 143.95555)",1,Palm Oil,Yes or 100% third party certified raw materials already achieved,"The recent nbpol carbon footprint report identifies the direct and indirect - impacts of NBPOL operations on GHG emissions. This 12 month study identifies the key areas  for emissions. A summary page is given in the NBPOL Sustainability report and is attached  (Extract SR 2010-2011 = p31). The carbon report is too big to attach. In addition 99% of NBPOL's business is oil palm.  The oil palm is subject to an annual SIA and EIA under the ISO 14001 EMS which has identified all social and environmental risks associated with oil palm and has allowed management strategies to be implemented which mitigate the negative and maximise the positive. new Developments are subject to the RSPO New Planting Procedure which include SEIA and HCV and in addition NBPOL has instituted High Carbon Stock and soil and topography assessments 
This work has continued and now has been expanded to all operational sites. NBPOL has been a leading player in the RSPO GHG working group and instrumental in forming the ""PalmGHG""carbon calculator tool for plantations which is at the heart of the RSPO carbon reporting.",Material risk,"NBPOL exports to EU countries where governments and the public are aware of the issues facing palm oil.  	Strong legislation exist in all aspects of the Supply chain. PNG and the Solomon Islands have strong environmental , social and labour regulations which are supported and enhanced by the voluntary commitments to the RSPO National Interpretation in these countries
NBPOL is listed on the London Stock exchange and is governed by UK legislation and example of which is the UK Bribery Act.",Material risk,Buying from smallholders represents a material risk in relation to maintaining the certification status of the oil produced. All NBPOL oil is segregated and certified .	,Non-material risk,Loss of smallholders from the supply base would not significantly impact the business. 	
2013,New Britain Palm Oil,Papua New Guinea,"(-6.314993, 143.95555)",2,Cattle Products,Yes or 100% third party certified raw materials already achieved,"There are 18,000 head of cattle. Some 5,000 are integrated entirely with the oil palm operations and are grazed on NBPOL-owned land which has a no-deforestation policy and  are subject to the same scrutiny as all other operations. The ISO  14001 Environmental Managment system has identified both the positive and negative impacts of cattle on the environment. The remaining herd is grazed exclusively in the Markham valley an anthropogenic grassland which has not sustained forest for at least 200 years. This herd is subject to the same EMS system  which has identified all risks. A carbon emissions calculation has been made on the smaller herd and is concidered to be negliable.",Material risk,PNG Public Health and Hygiene and Food safety legislation	,Non-material risk,Totally in house. Income from livestock is 1% of spend therefore not concidered material to the global exposure  of NBPOL	,No risk,There is no buying of this commodity from external sources	
2014,News Corp,USA,"(37.09024, -95.712891)",1,Timber,Yes,"News Corp’s process for identifying deforestation risks and/or opportunities is the same process used to identify and monitor other pressures that could similarly impact the business. To identify these risks, we use the same process used to identify and monitor other pressures that could similarly impact the business. At the enterprise level, News Corp uses a risk assessment process to identify and track substantive business risks. (For the purposes of this CDP response, News Corp has defined “substantive” to mean noteworthy or caused by something other than mere chance, but does not necessarily include the concept of materiality within the meaning of the securities laws nor would it necessarily have meaningful financial impact). The enterprise risk framework includes an analysis including those risks that may be a result of climate change related impacts. The nature of the Global Environmental Initiative (GEI) as a corporate-wide program ensures senior management involvement and frequent reviews of the GEI’s progress and findings. As part of this corporate-wide program, impacts on and risks to the business overall are regularly shared with senior management, including members of the board.",Non-material risk,"At this time there is no regulatory risk to News Corp related to deforestation.  We do not source our paper from illegally harvested fiber, endangered forests, Indonesian tropical rainforests, mixed tropical hardwood, or Acacia and Ramin trees.  If we were to change our suppliers, we would re-evaluate our risks at that time.",Material risk,This is a material risk but mitigated by the strong relationships we maintain with our suppliers to know the source of our paper purchases.,Non-material risk,"As we have held ourselves to the standard of only procuring paper from certified mills, there could potentially be a risk of supply.  However, we have evaluated the supply availability of the products we require and deem that to be a non-material risk."
2013,News UK,United Kingdom,"(55.378051, -3.435973)",1,Timber,,,,,,Public disatisfaction 	,,
2013,"Office Depot, Inc.",USA,"(37.09024, -95.712891)",1,Timber,Partial,We have partnered with WWF to start assessing our forest risks in North America and joined their WWF Forest and Trade Network. We plan to work with suppliers to understand the ultimate forest source of many of our high volume paper products. We will then overlay the source with a risk 'heat map' that WWF provides us.,Material risk,LACEY Act in the US and EUTR / FLEGT timber regulations,Material risk,Risk associated with sourcing from the Boreal Canada and certain SFI certified forests from the US South - if there is conversion from biodiverse forests to monoculture plantations.,Material risk,"If permanent deforestation or widespread degradation occurs, in current or future sourcing regions, we could face supply constraints in one of our primary product categories."
2014,"Office Depot, Inc.",USA,"(37.09024, -95.712891)",1,Timber,Partial,We have partnered with WWF to start assessing our forest risks in North America and UK/Ireland and joined their WWF Forest and Trade Network. We plan to work with suppliers to understand the ultimate forest source of many of our high volume paper products. We will then overlay the source with a risk 'heat map' that WWF provides us.,Material risk,LACEY Act in the US and EUTR / FLEGT timber regulations,Material risk,Risk associated with sourcing from the Boreal Canada and certain SFI certified forests from the US South - if there is conversion from biodiverse forests to monoculture plantations.,Material risk,"If permanent deforestation or widespread degradation occurs, in current or future sourcing regions, we could face supply constraints in one of our primary product categories."
2013,Olam International,Singapore,"(1.352083, 103.819836)",1,Timber,Yes or 100% third party certified raw materials already achieved,"We assess the physical, regulatory and reputational risks for our operation against the 10 principles necessary to achieve FSC certification.

The ten FSC Principles require the forest owner or manager to do the following:

Principle 1: Compliance with laws and FSC Principles – to comply with all laws, regulations, treaties, conventions and agreements, together with all FSC Principles and Criteria.


Principle 2: Tenure and use rights and responsibilities – to define, document and legally establish long-term tenure and use rights.

Principle 3: Indigenous peoples’ rights – to identify and uphold indigenous peoples’ rights of ownership and use of land and resources.

Principle 4: Community relations and worker's rights – to maintain or enhance forest workers' and local communities’ social and economic well-being.

Principle 5: Benefits from the forest – to maintain or enhance long term economic, social and environmental benefits from the forest.

Principle 6: Environmental impact – to maintain or restore the ecosystem, its biodiversity, resources and landscapes.

Principle 7: Management plan – to have a management plan, implemented, monitored and documented.

Principle 8: Monitoring and assessment – to demonstrate progress towards management objectives.

Principle 9: Maintenance of high conservation value forests – to maintain or enhance the attributes which define such forests.

Principle 10: Plantations – to plan and manage plantations in accordance with FSC Principles and Criteria.

We use independent third party accredited auditors to verify our operation complies with the Principles and Criteria of the FSC",Material risk,"FLEGT is in the process of being implemented in CIB. 
Please see our webpage for our response and why FSC would address this risk",Material risk,Yes but mitigated through the actions required to achieve and maintain the FSC certificate,Material risk,Yes but mitigated through the CIB operational management system
2013,Oriflame Cosmetics AB,Sweden,"(60.128161, 18.643501)",1,Timber,Yes or 100% third party certified raw materials already achieved,"Timber products and their specific risks are part of a risk assessment process where factors such as Oriflame's environmental and social impact, other sourcing risks, regulatory risks and reputational risks are taken into consideration globally and in specific regions. The outcomes of these assessments help prioritise actions.",Non-material risk,"EU Timber regulation only concerns a minor share of Oriflame products, we have a process in place to help ensure we fulfill regulatory requirements.",Material risk,Oriflame is a large consumer of paper products (by selling through catalogues and not through retail outlets) and recognises that we have an important role in preventing deforestation and forest degradation. Therefore reputational risks are material if not managed correctly.,No risk,
2013,Oriflame Cosmetics AB,Sweden,"(60.128161, 18.643501)",2,Palm Oil,Yes or 100% third party certified raw materials already achieved,"Palm oil derivatives and their specific risks are part of a risk assessment process where factors such as Oriflame's environmental and social impact, other sourcing risks, regulatory risks and reputational risks are taken into consideration globally and in specific regions. The outcomes of these assessments help prioritise actions.",No risk,,Material risk,There are serious environmental pressures caused by the palm oil industry’s rapid expansion into eco-sensitive areas making the reputational risk material (e.g. through media coverage or NGO action).,Material risk,"There are serious environmental pressures caused by the palm oil industry’s rapid expansion into eco-sensitive areas making the operational risks high.
Currently the numbers of suppliers providing segregated palm oil derivatives are few, increasing the supply risks for Oriflame."
2014,Oriflame Cosmetics AB,Sweden,"(60.128161, 18.643501)",1,Timber,Yes,"Timber products and their specific risks are part of a risk assessment process where factors such as Oriflame's environmental and social impact, other sourcing risks, regulatory risks and reputational risks are taken into consideration globally and in specific regions. The outcomes of these assessments help prioritise actions.",Non-material risk,"EU Timber regulation only concerns a minor share of Oriflame products, we have a process in place to help ensure we fulfill regulatory requirements.",Material risk,Oriflame is a large consumer of paper products (by selling through catalogues and not through retail outlets) and recognises that we have an important role in preventing deforestation and forest degradation. Therefore reputational risks are material if not managed correctly.,No risk,
2014,Oriflame Cosmetics AB,Sweden,"(60.128161, 18.643501)",2,Palm Oil,Yes,"Palm oil derivatives and their specific risks are part of a risk assessment process where factors such as Oriflame's environmental and social impact, other sourcing risks, regulatory risks and reputational risks are taken into consideration globally and in specific regions. The outcomes of these assessments help prioritise actions.",No risk,,Material risk,There are serious environmental pressures caused by the palm oil industry’s rapid expansion into eco-sensitive areas making the reputational risk material (e.g. through media coverage or NGO action).,Material risk,"There are serious environmental pressures caused by the palm oil industry’s rapid expansion into eco-sensitive areas making the operational risks high. Currently the numbers of suppliers providing segregated palm oil derivatives are few, increasing the supply risks for Oriflame."
2014,Orkla ASA,Norway,"(60.472024, 8.468946)",1,Palm Oil,Yes,The risk assessment process regarding usage of palm oil has been implemented as part of the overall risk assessment work in Orkla ASA.,No risk,Orkla is not directly involved in production of palm oil and will be able to switch to alternatives if necessary.,Non-material risk,The usage of palm oil in any products will expose you for reputational risk both with regard to health and deforestation/climate issues.,No risk,"Orkla is not involved in any upstream activities regarding production, transport or distribution of palm oil. A sudden shortage in the market could potentially distort our production capacity for certain products."
2013,Pearson,United Kingdom,"(55.378051, -3.435973)",1,Timber,Yes or 100% third party certified raw materials already achieved,"We use the PREPS database which holds technical specifications and details of the pulps and forest sources of the papers we use. Based on the forest source information, each paper is awarded a grade of 1, 3, or 5 using the PREPS Grading System. This considers the country of origin of the wood fibre and how the forest sources have been managed.  We also use the WWF Forest and Trade Network system to assess risk.",Non-material risk,"The EU Timber Regulation (EUTR) came into force in 2013.  Currently, we are not covered within the scope as printed paper - books, magazines and newspapers are excluded.  That could change.  The Lacey Act in the United States also sets out rules relating to responsible paper purchase.",Non-material risk,"A number of environmental campaigning groups  are concerned over the loss of natural forest and threats to biodiversity arising from the pulp and paper industry.  Our approach is to review all the papers we purchase against the PREPS grading tool on certification and well managed forests. The PREPS approach incorporates a country forest risk assessment designed to help assess threats to High 
Conservation Value Forests and to avoid controversial fibre entering the supply chain. Only papers graded 3 or above under the PREPS system meets our standards. Paper and pulp sourced from Indonesia is a key area of focus and no paper manufactured in Indonesia or paper that contains pulp from Indonesia meets our standards. Our use of PREPS is well established among production teams in Pearson. We also communicate our standards to printers and others who purchase paper on our behalf.",Non-material risk,There is a risk of supplier failure.
2014,Pearson,United Kingdom,"(55.378051, -3.435973)",1,Timber,Yes,"We use the PREPS database which holds technical specifications and details of the pulps and forest sources of the papers we use. Based on the forest source information, each paper is awarded a grade of 1, 3, or 5 using the PREPS Grading System. This considers the country of origin of the wood fibre and how the forest sources have been managed.  We also use the WWF Forest and Trade Network system to assess risk.",Non-material risk,"The EU Timber Regulation (EUTR) came into force in 2013.  Currently, Pearson  products are not covered within the scope as printed paper - books, magazines and newspapers are excluded.  That could change and Pearson would support such a development.  The Lacey Act in the United States also sets out rules relating to responsible paper purchase.",Non-material risk,A number of environmental campaigning groups are concerned over the loss of natural forest and threats to biodiversity arising from the pulp and paper industry.  Our approach is to prioritise FSC certified / PCW papers as well as to review all the papers we purchase against the PREPS grading tool on certification and well managed forests. The PREPS approach incorporates a country forest risk assessment designed to help assess threats to High  Conservation Value Forests and to avoid controversial fibre entering the supply chain. Only papers graded 3 or above under the PREPS system meets our standards. Paper and pulp sourced from Indonesia is a key area of focus and no paper manufactured in Indonesia or paper that contains pulp from Indonesia meets our standards. Our use of PREPS is well established among production teams in Pearson. We also communicate our standards to printers and others who purchase paper on our behalf.,Non-material risk,There is a risk of supplier failure which Pearson mitigates through the purchase from a range of suppliers .  We use the PREPS system as well as chain-of-custody controls to ensure effective oversight of the material we purchase.
2013,"PepsiCo, Inc.",USA,"(37.09024, -95.712891)",1,Timber,Partial,"The raw materials and energy we use to produce our products are largely commodities subject to price volatility and fluctuations in availability caused by changes in global supply and demand, weather conditions, agricultural uncertainty or government incentives and controls. In the normal course of business, we manage these risks through a variety of strategies, including productivity initiatives, global purchasing programs and systematic hedging strategies. Our global purchasing programs include fixed price purchase orders and pricing agreements. Our hedging strategies include the use of derivatives, to economically hedge price fluctuations related to a portion of our anticipated commodity purchases, primarily for agricultural products, metals and energy. Commodity Risk Management provides reasonable predictability in cost across our global commodity exposures, while allowing for controlled flexibility to adapt to unique market circumstances. For timber, PepsiCo considers country of origin and supplier business continuity planning by region.",Non-material risk,"Following COP 17 and the Rio +20 conferences, the REDD+ program has been made a higher priority globally and therefore changes in timber supply chains and timber derived commodities are forth coming.",Non-material risk,"Proper timber management and the impacts on forests have long been reputational issues. However due to our relatively small sourcing of timber based products, use of FSC and other sustainable certified products, PepsiCo is not under any material reputational risks in this area.",Non-material risk,"Following COP 17 and the Rio +20 conferences, the REDD+ program has been made a higher priority globally and therefore changes in timber supply chains and timber derived commodities are forth coming."
2013,"PepsiCo, Inc.",USA,"(37.09024, -95.712891)",2,Palm Oil,Partial,"The raw materials and energy we use to produce our products are largely commodities subject to price volatility and fluctuations in availability caused by changes in global supply & demand, weather conditions, agricultural uncertainty or government incentives and controls. In the normal course of business, we manage these risks through a variety of strategies, including productivity initiatives, global purchasing programs and systematic hedging strategies. Our global purchasing programs include fixed price purchase orders and pricing agreements. Our hedging strategies include the use of derivatives, to economically hedge price fluctuations related to a portion of our anticipated commodity purchases, primarily for agricultural products, metals and energy. Commodity Risk Management provides reasonable predictability in cost across our global commodity exposures, while allowing for controlled flexibility to adapt to unique market circumstances. For palm oil, PepsiCo considers country of origin, supplier business continuity planning by region and commodity risk management through financial planning on market based commodities.",Material risk,Palm oil is coming under increasing pressure globally to be sourced in a sustainable and responsible manner. This is reflected in PepsiCo's commitment to source 100 percent of our Palm oil as RSPO by 2015.,Material risk,Palm oil is coming under increasing pressure globally to be sourced in a sustainable and responsible manner. This is reflected in PepsiCo's commitment to source 100 percent of our Palm oil as RSPO by 2015.,Material risk,Palm oil is coming under increasing pressure globally to be sourced in a sustainable and responsible manner. This is reflected in PepsiCo's commitment to source 100 percent of our Palm oil as RSPO by 2015.
2014,"PepsiCo, Inc.",USA,"(37.09024, -95.712891)",1,Timber,Partial,"PepsiCo recognizes the impact that the supply of timber can have on deforestation, which is reflected in our Forestry Stewardship Policy and our Sustainable Packaging Policy.  For timber, PepsiCo considers country of origin and supplier business continuity planning by region.  We have identified specific goals at a regional level to address the risks identified.",Non-material risk,"We are seeing increasing interest from national and supra-national governments in the impact of deforestation and in setting regulations to increase transparency and reduce the environmental and social impacts of deforestation around the world. We are seeing increased international co-operation, for example through COP 17 and the Rio +20 conferences, which led to the REDD+ program enhancement, and at a practical level with the US Lacey Act and the European Union Timber Regulations.  We believe that our Sustainable Packaging and Forestry Stewardship Policies reflect current science and will enable us to stay ahead of regulatory requirements.",Material risk,"We are seeing increasing interest from socially responsible investors, NGOs and the media on the link between timber for packaging and deforestation in companies’ own operations and supply chains.  We also monitor the ongoing reaction of consumers to both negative associations with deforestation and timber, and interest in externally validated labeling as a way of reassuring consumers of the approach that specific brands and businesses take. We believe that our Sustainable Packaging and Forestry Stewardship Policies will manage the increasing reputational risks associated with timber and deforestation.",Non-material risk,"The raw materials and energy we use to produce our products are largely commodities subject to price volatility and fluctuations in availability caused by changes in global supply and demand, weather conditions, agricultural uncertainty or government incentives and controls. In the normal course of business, we manage these risks through a variety of strategies, including productivity initiatives, global purchasing programs and systematic hedging strategies. Our global purchasing programs include fixed price purchase orders and pricing agreements. Our hedging strategies include the use of derivatives, to economically hedge price fluctuations related to a portion of our anticipated commodity purchases, primarily for agricultural products, metals and energy. Commodity Risk Management provides reasonable predictability in cost across our global commodity exposures, while allowing for controlled flexibility to adapt to unique market circumstances.  For timber, PepsiCo considers country of origin and supplier business continuity planning by region."
2014,"PepsiCo, Inc.",USA,"(37.09024, -95.712891)",2,Palm Oil,Partial,"PepsiCo recognizes the impact that the supply of palm oil can have on deforestation, which is reflected in our Forestry Stewardship Policy, Palm Oil Commitments and Land Use Policy.  For palm oil, PepsiCo considers country of origin, supplier business continuity planning by region and commodity risk management through financial planning on market based commodities.  We have undertaken a detailed mapping of our palm oil supply chain, to the farm level, to better quantify the risks in various markets. PepsiCo is starting in Mexico, our largest single market of use for palm oil, to perform specific audits against these risks and to better quantify where corrective action is needed.",Non-material risk,"Palm oil is coming under increasing pressure from investors, NGOs, the media, governments and business to be sourced in a sustainable and responsible manner.  While most of the mechanisms to deliver more sustainable palm oil, such as the RSPO and NGO campaigns, are non-regulatory, we are seeing increasing interest from governments in using regulation to drive change.  We believe that our Land Use and Forestry Stewardship Policies and Palm Oil Commitments will enable us to stay ahead of regulatory requirements.",Material risk,"We are seeing increasing interest from socially responsible investors, NGOs and the media on the link between palm oil and deforestation in companies’ own operations and supply chains.  We also monitor the ongoing reaction of consumers to both negative associations with deforestation and palm oil, and interest in externally validated labeling as a way of reassuring consumers of the approach that specific brands and businesses take. We believe that our Sustainable Packaging and Forestry Stewardship will manage the increasing reputational risks associated with palm oil and deforestation.",Non-material risk,"The raw materials and energy we use to produce our products are largely commodities subject to price volatility and fluctuations in availability caused by changes in global supply and demand, weather conditions, agricultural uncertainty or government incentives and controls. In the normal course of business, we manage these risks through a variety of strategies, including productivity initiatives, global purchasing programs and systematic hedging strategies. Our global purchasing programs include fixed price purchase orders and pricing agreements. Our hedging strategies include the use of derivatives, to economically hedge price fluctuations related to a portion of our anticipated commodity purchases, primarily for agricultural products, metals and energy. Commodity Risk Management provides reasonable predictability in cost across our global commodity exposures, while allowing for controlled flexibility to adapt to unique market circumstances. For palm oil, PepsiCo considers country of origin, supplier business continuity planning by region and commodity risk management through financial planning on market based commodities."
2014,Pioneer Foods,South Africa,"(-30.559482, 22.937506)",1,Timber,No,N/A,No risk,Pioneer Foods is not aware of any regulatory risk related to this commodity.,No risk,Pioneer Foods does not procure timber directly.,No risk,Pioneer Foods does not believe there are operational risks associated with this commodity.
2014,Pioneer Foods,South Africa,"(-30.559482, 22.937506)",2,Palm Oil,No,N/A,No risk,Pioneer Foods is not aware of any regulatory risk related to this commodity.,Non-material risk,"Consumers are becoming more aware of the social and environmental impacts this product has in countries where these are produced, therefore there may be reputational risk for companies buying from suppliers in these geographical regions.",No risk,Pioneer Foods does not believe there are operational risks associated with this commodity.
2014,Pioneer Foods,South Africa,"(-30.559482, 22.937506)",3,Soy,No,N/A,No risk,Pioneer Foods is not aware of any regulatory risk related to this commodity.,No risk,Pioneer Foods is not aware of any reputational risks associated with this commodity.,No risk,Pioneer Foods does not believe there are operational risks associated with this commodity.
2013,PrimeAsia Leather Company,USA,"(37.09024, -95.712891)",1,Timber,Yes or 100% third party certified raw materials already achieved,Leather Working Group Audit evaluates how much of our incoming timber products are from recycled sources but not necessarily whether they are sustainably harvested sources. The LWG also evaluates where our timber products are discharged and whether they are recycled.  This information will be given in further depth in the new LWG Protocol 6.0 starting in 2014.,No risk,,No risk,,No risk,
2014,PrimeAsia Leather Company,USA,"(37.09024, -95.712891)",2,Cattle Products,Yes,"Yes, PrimeAsia issued the PrimeAsia Procurement Policy and assures that all wet blue suppliers of hides to PrimeAsia follow the policy.  Wet blue suppliers must be audited in the Leather Working Group guidelines, tested against the PrimeAsia Wet Blue RSL Policy and operate a hide traceability program.  The hide traceability program that the wet blue supplier operates must be one of the following with preference for option 1, (1) documented traceability to slaughterhouse origin.  With all hides physically marked, allowing traceability of individual hides. (2) Documented traceability to slaughterhouse origin of each shipment of hides.",Material risk,"No regulatory risk in the countries PrimeAsia manufactures, but PrimeAsia's suppliers risk regulatory risk in their countries where the cattle graze and are slaughtered.",Material risk,PrimeAsia prides itself on buying from reputable wet blue suppliers who meet strict standards.  PrimeAsia's reputation is built on sourcing from suppliers who provide traceable hides.  Customers choose to purchase leather from PrimeAsia because of this value added aspect of the company's product.,No risk,
2013,Quanta Computer,Taiwan,"(23.69781, 120.960515)",1,Timber,No,none,Material risk,Our company for the majority of packaging materials are paper products,Material risk,"1, use a lot of paper packaging materials, may increase the burden on forest protection;
2, the paper packaging may cause fire;",Material risk,"1, the paper packaging materials are combustible, the fire risk;
2, paper packaging materials easy to damp, affect the appearance, may not be accepted by the customer;
3, the paper packaging material in the packaging process, easy to scratch, damage can lead to material waste"
2013,Quanta Computer,Taiwan,"(23.69781, 120.960515)",2,Cattle Products,No,none,No risk,Our company is not using Cattle Products,No risk,Our company is not using Cattle Products,No risk,Our company is not using Cattle Products
2013,Quanta Computer,Taiwan,"(23.69781, 120.960515)",3,Soy,No,none,No risk,Our company is not using Soy Products,No risk,Our company is not using Soy Products,No risk,Our company is not using Soy Products
2014,Quanta Computer,Taiwan,"(23.69781, 120.960515)",1,Timber,Partial,"Determined the items,the quantity,the user department.


",Material risk,Our company for the majority of packaging materials are paper products and wooden box.,Material risk,"1, use a lot of paper packaging materials, may increase the burden on
forest protection; 2, the paper packaging may cause fire;",Material risk,"1, the paper packaging materials are combustible, the fire risk; 2, paper packaging materials easy to damp, affect the
appearance, may not be accepted by the customer; 3, the paper packaging material in the packaging process, easy to
scratch, damage can lead to material waste"
2014,Quanta Computer,Taiwan,"(23.69781, 120.960515)",2,Palm Oil,Partial,"Determined the items,the amount,the user department.",Material risk,Our company use it for maintaining.,Material risk,Using oil may cause water pollution.,Material risk,Using oil may cause water pollution.
2014,Quanta Computer,Taiwan,"(23.69781, 120.960515)",3,Cattle Products,Partial,"Determined the items,the quantity,the user department.",Non-material risk,Our company is not using Cattle Products in the products.,No risk, Our company is not using Cattle Products,No risk,Our company is not using Cattle Products in Products
2013,Reed Elsevier Group,United Kingdom,"(55.378051, -3.435973)",1,Timber,Yes or 100% third party certified raw materials already achieved,"The company operates a multi-disciplinary company wide risk management processes.

At a company level risks and opportunities (which are publically available at http://reporting.reedelsevier.com/cr12/environment/why-it-matters/risks-and-opportunities/) are laid out and reviewed once a year by our Environmental Champions network (which represents all areas of our business), reviewed by our Corporate Risk and Audit team and signed off by our Corporate Responsibility Forum, before being incorporated into the risk management process. Opportunities are explored as part of this process through dedicated working groups.

The risk assessment covers: 
* Operational risk- including the security of supply, reliability of existing control measures 
* Regulatory - including compliance with existing regulations or schemes and the introduction of new regulations in different regions, such as the Lacey Act in the US or the Timber Regs in the EU.
* Reputational - including customer reaction to the use of unsustainable fibre sources

The risks identified through the above process are used in planning corporate targets/ objectives and in the environmental management system.

Timber is included in the above process and reported as part of our published Corporate Responsibility report.

Timber risks are managed through procurement by the use of the PREPS database. which holds technical specifications and details of the pulps and forest sources of the papers used by member organisations. 

Based on the forest source information, each paper is awarded a grade of 1, 3, or 5 using the PREPS Grading System. This considers the country of origin of the wood fibre and how the forest sources have been managed. Reed Elsevier policy is to use only papers graded 3 or above - these are the papers with known forest sources and certfication against a recognised standard.",Material risk,"Existing control measures reduce the risk to an acceptable level. However, as regulations are introduced or updated we are reviewing the systems to ensure compliance with all requirements.",Material risk,"As a provider of professional information in environmental topics, any breach of standards in timber commodity sourcing could affect the perception of the integrity of those products or the company.",Non-material risk,Operational risks include increased weather disruptions and impacts from climate change. PREPS helps us to identify alternative sustainable supply options as security of supply is important.
